"Doctor Name","Qualification","Speciality","City","Phone","Address","Website","Registration"
"Dr. Suman Bhati","MD Dermatology","Hair Restoration","Jaipur","+91-9828910987","Bhati Hair & Skin","drsbhati.in","RJ-45693"
"Dr. Neeraj Verma","MD DVL","General Dermatology","Lucknow","+91-9839065432","Verma Dermatology","drneeraj.in","UP-89027"
"Dr. Garima Pant","DNB","Pediatric Dermatology","Lucknow","+91-9839054321","Pant Skin Clinic","drgarima.in","UP-89028"
"Dr. Shilpa Gowda","MD DVL","General Dermatology","Bangalore","+91-9845365432","Gowda Skin Solutions","drshilpa.in","KA-98782"
"Dr. Shruti Sharma","MD Dermatology","Hair & Scalp","Pune","+91-9822723456","Sharma Hair & Skin","drshruti.in","MH-34584"
"Dr. Manoj Soni","MD DVL","General Dermatology","Ahmedabad","+91-9898854321","Soni Dermatology","drmsoni.in","GJ-76560"
"Dr. Ankur Gupta","DNB","Dermatosurgery","Lucknow","+91-9839076543","Gupta Skin Institute","drankur.in","UP-89029"
"Dr. Priti Hegde","MD DVL","Skin Allergies","Bangalore","+91-9845334567","Hegde Skin Clinic","drpriti.in","KA-98783"
"Dr. Madhavi Varma","MD Dermatology","Laser Hair Removal","Chennai","+91-9884501234","Varma Aesthetics","drmadhavi.in","TN-67908"
"Dr. Tanvi Parekh","MD Dermatology","General Dermatology","Jaipur","+91-9828912345","Parekh Clinic","drtanvi.in","RJ-45696"
"Dr. Renuka Nair","MD DVL","General Dermatology","Chennai","+91-9884554321","Nair Skin Care","drrnair.in","TN-67909"
"Dr. Sanjay Joshi","DNB","Dermatopathology","Hyderabad","+91-9866667890","Joshi Skin Institute","drsanjayi.in","TS-11242"
"Dr. Gaurav Sharma","DNB","Eczema & Dermatitis","Lucknow","+91-9839001234","Sharma Dermatology","drgauravs.in","UP-89031"
"Dr. Smita Rao","MD Dermatology","Cosmetic Dermatology","Mumbai","+91-9820101234","Rao Skin & Hair","drsmita.in","MH-12365"
"Dr. Suman Shetty","MD DVL","Laser Hair Removal","Bangalore","+91-9845301234","Shetty Skin Clinic","drshetty.in","KA-98785"
"Dr. Manoj Das","DNB","Pediatric Dermatology","Kolkata","+91-9830423456","Das Skin Center","drmdas.in","WB-23476"
"Dr. Pooja Kulkarni","MD DVL","Hair & Scalp Disorders","Pune","+91-9822745678","Kulkarni Hair & Skin","drpkulkarni.in","MH-34587"
"Dr. Anita Wagle","MD DVL","General Dermatology","Mumbai","+91-9820145678","Wagle Skin Clinic","dranitaw.in","MH-12366"
"Dr. Lakshmi Narayan","MD DVL","Hair Transplant","Chennai","+91-9884589012","Narayan Hair Clinic","drlakshmi.in","TN-67911"
"Dr. Sneha Pandit","MD Dermatology","Medical Dermatology","Pune","+91-9822712345","Pandit Skin Clinic","drsnehap.in","MH-34588"
"Dr. Alok Varma","DNB","Skin Allergies","Lucknow","+91-9839090123","Varma Skin Solutions","dralokv.in","UP-89033"
